scene_id,date,orbit_pass,relative_orbit
S1A_EW_GRDM_1SSH_20240101T230241_20240101T230346_051919_0645DF_43BB,2024-01-01 23:02:41,ASCENDING,47
S1A_EW_GRDM_1SSH_20240103T060820_20240103T060920_051938_064682_53D8,2024-01-03 06:08:20,DESCENDING,66
S1A_EW_GRDM_1SSH_20240104T232657_20240104T232757_051963_064760_0FD8,2024-01-04 23:26:57,ASCENDING,91
S1A_EW_GRDM_1SSH_20240106T063157_20240106T063257_051982_064804_B86C,2024-01-06 06:31:57,DESCENDING,110
S1A_EW_GRDM_1SSH_20240107T071319_20240107T071419_051997_064890_224C,2024-01-07 07:13:19,DESCENDING,125
S1A_EW_GRDM_1SSH_20240108T225229_20240108T225329_052021_06495C_99C1,2024-01-08 22:52:29,ASCENDING,149
S1A_EW_GRDM_1SSH_20240110T223828_20240110T223932_052050_064A67_CADA,2024-01-10 22:38:28,ASCENDING,3
S1A_EW_GRDM_1SSH_20240114T070404_20240114T070504_052099_064BF8_52D9,2024-01-14 07:04:04,DESCENDING,52
S1A_EW_GRDM_1SSH_20240115T224633_20240115T224737_052123_064CDA_B308,2024-01-15 22:46:33,ASCENDING,76
S1A_EW_GRDM_1SSH_20240117T073014_20240117T073114_052143_064D83_033A,2024-01-17 07:30:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240119T071218_20240119T071318_052172_064E7A_5640,2024-01-19 07:12:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20240120T061628_20240120T061728_052186_064EEF_730E,2024-01-20 06:16:28,DESCENDING,139
S1A_EW_GRDM_1SSH_20240124T072029_20240124T072129_052245_0650F1_F2F5,2024-01-24 07:20:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20240126T070503_20240126T070603_052274_0651D4_F89F,2024-01-26 07:05:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240129T072814_20240129T072914_052318_06536D_5939,2024-01-29 07:28:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240130T063256_20240130T063356_052332_0653E1_7FF3,2024-01-30 06:32:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240131T071418_20240131T071518_052347_065466_63A1,2024-01-31 07:14:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20240201T061527_20240201T061627_052361_0654DE_5A5F,2024-02-01 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240203T223827_20240203T223932_052400_065635_AD7E,2024-02-03 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20240205T072129_20240205T072229_052420_0656E5_348E,2024-02-05 07:21:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20240207T070503_20240207T070603_052449_0657C2_B729,2024-02-07 07:05:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240208T224632_20240208T224737_052473_0658A6_93F6,2024-02-08 22:46:32,ASCENDING,76
S1A_EW_GRDM_1SSH_20240211T063156_20240211T063256_052507_0659C3_8ADF,2024-02-11 06:31:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240212T071217_20240212T071317_052522_065A4A_0AAB,2024-02-12 07:12:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240213T061527_20240213T061627_052536_065AC1_875F,2024-02-13 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240215T223827_20240215T223931_052575_065C1E_C9C5,2024-02-15 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20240217T072129_20240217T072229_052595_065CC9_1428,2024-02-17 07:21:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20240219T070503_20240219T070603_052624_065DAD_9364,2024-02-19 07:05:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240220T224632_20240220T224737_052648_065E98_D7A7,2024-02-20 22:46:32,ASCENDING,76
S1A_EW_GRDM_1SSH_20240223T063156_20240223T063256_052682_065FB7_373F,2024-02-23 06:31:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240224T071217_20240224T071317_052697_06603C_7F4D,2024-02-24 07:12:17,DESCENDING,125
S1A_EW_GRDM_1SSH_20240225T061527_20240225T061627_052711_0660B9_DD5E,2024-02-25 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240227T223827_20240227T223931_052750_066216_9CFB,2024-02-27 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20240229T072129_20240229T072229_052770_0662C4_06F3,2024-02-29 07:21:29,DESCENDING,23
S1A_EW_GRDM_1SSH_20240301T230240_20240301T230345_052794_06638B_A386,2024-03-01 23:02:40,ASCENDING,47
S1A_EW_GRDM_1SSH_20240303T060819_20240303T060919_052813_066430_65EE,2024-03-03 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20240305T072914_20240305T073014_052843_06653B_1A56,2024-03-05 07:29:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240306T231046_20240306T231150_052867_066611_0011,2024-03-06 23:10:46,ASCENDING,120
S1A_EW_GRDM_1SSH_20240308T061527_20240308T061627_052886_0666A7_0076,2024-03-08 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240310T223827_20240310T223931_052925_066804_3262,2024-03-10 22:38:27,ASCENDING,3
S1A_EW_GRDM_1SSH_20240313T230240_20240313T230345_052969_06697E_AA01,2024-03-13 23:02:40,ASCENDING,47
S1A_EW_GRDM_1SSH_20240315T060819_20240315T060919_052988_066A2A_4AF4,2024-03-15 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20240317T073014_20240317T073114_053018_066B57_1286,2024-03-17 07:30:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240318T231046_20240318T231150_053042_066C4C_1F3E,2024-03-18 23:10:46,ASCENDING,120
S1A_EW_GRDM_1SSH_20240320T061527_20240320T061627_053061_066D01_BE3C,2024-03-20 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240323T231854_20240323T231959_053115_066F14_0846,2024-03-23 23:18:54,ASCENDING,18
S1A_EW_GRDM_1SSH_20240324T235820_20240324T235920_053130_066FA6_51A7,2024-03-24 23:58:20,ASCENDING,33
S1A_EW_GRDM_1SSH_20240326T070603_20240326T070641_053149_067058_DE65,2024-03-26 07:06:03,DESCENDING,52
S1A_EW_GRDM_1SSH_20240329T072914_20240329T073014_053193_067202_4DE2,2024-03-29 07:29:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240330T063257_20240330T063357_053207_067286_A7E1,2024-03-30 06:32:57,DESCENDING,110
S1A_EW_GRDM_1SSH_20240331T071418_20240331T071518_053222_067320_5875,2024-03-31 07:14:18,DESCENDING,125
S1A_EW_GRDM_1SSH_20240401T061528_20240401T061628_053236_0673A2_8B38,2024-04-01 06:15:28,DESCENDING,139
S1A_EW_GRDM_1SSH_20240404T231855_20240404T231959_053290_0675BB_4BE6,2024-04-04 23:18:55,ASCENDING,18
S1A_EW_GRDM_1SSH_20240405T235821_20240405T235921_053305_067654_BC83,2024-04-05 23:58:21,ASCENDING,33
S1A_EW_GRDM_1SSH_20240408T060819_20240408T060919_053338_0677AA_1EBB,2024-04-08 06:08:19,DESCENDING,66
S1A_EW_GRDM_1SSH_20240410T072814_20240410T072914_053368_0678DF_CBD1,2024-04-10 07:28:14,DESCENDING,96
S1A_EW_GRDM_1SSH_20240411T063256_20240411T063356_053382_067969_A24F,2024-04-11 06:32:56,DESCENDING,110
S1A_EW_GRDM_1SSH_20240413T061527_20240413T061627_053411_067A8C_55C1,2024-04-13 06:15:27,DESCENDING,139
S1A_EW_GRDM_1SSH_20240414T233505_20240414T233610_053436_067B8D_99AE,2024-04-14 23:35:05,ASCENDING,164
S1A_EW_GRDM_1SSH_20240417T072130_20240417T072230_053470_067CE1_E593,2024-04-17 07:21:30,DESCENDING,23
